id,name,size,files,specs,agents,reasoning,connections,domain,matched_dimensoes,top_classes,top_funcs
C89,Metacognição e Self-Model: CT-08: reload_module() deve retornar RepairRecord com result=failed para engine,31,test_r39_self_repair.py,-,-,"R31, R32, R33, R34, R39","C15, C123",Metacognição e Self-Model,Metodologia Específica (keyword_map compatibility),CT-08: reload_module() deve retornar RepairRecord com result=failed para engine,-
C90,Testes e Validação: T_VAL,30,test_d12_filosofia.py,-,-,-,-,Testes e Validação,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Paradigmas Epistemológicos","T_VAL, Raciocínio Abdutivo: encontra a causa (hipótese) mais provável para explicar as",-
C91,Testes e Validação: ContextEntry,30,"context_offload.py, test_ecosystem_full.py",-,-,-,"C2, C19, C68, C69, C123",Testes e Validação,-,"ContextEntry, SessionState, ContextOffloadManager",".__init__(), .from_container(), .create_session()"
C92,Teoria dos Jogos: GameTheorySolver,30,game_theory_models.py,-,-,"R48, R49, R50","C3, C73, C115, C142, C193",Teoria dos Jogos,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","GameTheorySolver, Any",".solve_prisoners_dilemma(), .solve_battle_of_sexes(), .solve_stag_hunt()"
C93,Docling e PDF: PDFSkillGenerator,30,"pdf_ecosystem_integration.py, test_evolution_pdf_integration.py",-,-,-,"C4, C8, C123, C150, C228",Docling e PDF,-,"PDFSkillGenerator, PDFPipelineManager, Path",".__init__(), .generate_skill_from_knowledge(), ._load_index()"
C94,MCP e Adaptadores: EcosystemBridge,30,"bridge.py, ingestor.py",-,-,"R54, R55","C8, C99, C112, C123, C132",MCP e Adaptadores,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Perspectiva Temporal","EcosystemBridge, IngestConfig",".__init__(), ._load_state(), ._save_state()"
C95,Evolução e Feedback: CTResult,30,test_evolve_pipeline.py,-,-,"R4, R5",-,Evolução e Feedback,Alto Raciocínio (Especificidades),"CTResult, Any",.__init__()
C96,Ecossistema e Scanners: CTResult,30,test_teleological_scanner.py,-,-,"R60, R61, R62",-,Ecossistema e Scanners,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","CTResult, Any, CT-TEL-003: Goal type 'strategic' exige teoria dos jogos (Nash, Bayesiano, Evolu",.__init__()
C97,"Testes e Validação: Balanceia combustão completa: CxHyOz + a O2 → b CO2 + c H2O     Retorna (a, b, c",30,test_d4_quimica.py,-,-,-,-,Testes e Validação,Alto Raciocínio (Especificidades),"Balanceia combustão completa: CxHyOz + a O2 → b CO2 + c H2O     Retorna (a, b, c, D4-N1-01: 2 H2 + O2 → 2 H2O, D4-N1-01: CH4 + 2 O2 → CO2 + 2 H2O",-
C98,Integração Nexus: DomainCharacteristic,29,"domain_discovery_engine.py, nexus_integration_full.py, test_ecosystem_full.py",-,-,-,"C0, C2, C5, C8, C19",Integração Nexus,"Métodos de Investigação, Teoria dos Jogos (ENRICHED_KW compatibility)","DomainCharacteristic, DomainProfile, DomainDiscoveryEngine",".__init__(), .to_dict(), .extract_concepts()"
C99,Integração Nexus: IngestResult,29,ingestor.py,-,-,-,"C94, C112, C123, C201",Integração Nexus,"Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos, Níveis de Análise","IngestResult, PDFIngestor",".__init__(), .ingest_file(), .ingest_directory()"
C100,Raciocínio e Lógica: TestFaseA_ARCHE,29,test_r45a_arche_oqs.py,-,-,"R1, R2, R3, R4, R45",-,Raciocínio e Lógica,Raciocínio Formal (keyword_map compatibility),"TestFaseA_ARCHE, TestFaseA_OQS",".test_A01_arche_imports(), .test_A02_arche_rlt_node(), .test_A03_arche_rlt_tree()"
C101,Testes e Validação: TestFaseC_Coverage,29,test_r45c_coverage_expansion.py,-,-,R45,-,Testes e Validação,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Perspectiva Temporal",TestFaseC_Coverage,"._setup(), .test_C01_coverage_baseline(), .test_C02_inject_niveis_analise()"
C102,Testes e Validação: TestFaseE_Refine,29,test_r45e_refine_close.py,-,-,"R44, R45",-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos",TestFaseE_Refine,".test_E01_spec_coverage(), .test_E02_nexus_coverage(), .test_E03_tool_test_mapping()"
C103,Metacognição e Self-Model: Path,28,self_healer.py,-,-,"R31, R32, R33, R34","C27, C69, C123",Metacognição e Self-Model,-,Path,-
C104,Metacognição e Self-Model: SelfHealer,28,self_healer.py,-,-,"R31, R32, R33, R34","C27, C68, C69, C123",Metacognição e Self-Model,-,"SelfHealer, IStateManager, IEventBus",".__init__(), .check_cjk_leaks(), .fix_cjk_leaks()"
C105,ASDE — Descoberta Científica: TestASDECognitiveExperiment,27,"test_asde_experiment.py, run_all_benchmarks.py",-,-,"R35, R36, R37, R38, R39","C123, C171, C194",ASDE — Descoberta Científica,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Dados Específicos","TestASDECognitiveExperiment, CT-063-004: Validar o cálculo de VFE e a política de cooperação selecionada pelo, CT-063-010: Validar a calibração de priors e seu efeito no cálculo da Energia Li",".runner(), .test_ct_063_001_runner_initialization(), .test_ct_063_002_run_experiment_structure()"
C106,Evolução e Feedback: E2EResult,27,test_evolve_e2e.py,-,-,"R4, R5",C123,Evolução e Feedback,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+","E2EResult, Any",.__init__()
C107,ASDE — Descoberta Científica: TestFaseB_ASDE,27,test_r45b_asde_pipeline.py,-,-,"R35, R36, R37, R38, R39",C123,ASDE — Descoberta Científica,"Alto Dados (Expansão de Cobertura), Dados Específicos, Tipos de Dados e Evidências",TestFaseB_ASDE,".test_B01_asde_imports(), .test_B02_idea_generator(), .test_B03_ontology_graph()"
C108,Sincronização e Orquestração: ABC,26,micro_integration.py,-,-,"R54, R56","C0, C12, C123, C178, C186",Sincronização e Orquestração,"Metodologia Específica (keyword_map compatibility), Níveis de Análise, Preenchimento de Ausências (R37) — Complemento para 80%+","ABC, CyclePhase, BarrierResult",".__init__(), .execute(), .validate_output()"
C109,Estatística e Métricas: EpistemicArtifact,26,epistemic_injector.py,-,-,"R12, R13, R37",C123,Estatística e Métricas,População e Contexto,"EpistemicArtifact, EpistemicInjector, Path",".is_expired(), .__init__(), ._load_cache()"
C110,Sincronização e Orquestração: HealthScore,26,claws_orchestrator.py,-,-,"R54, R56","C34, C68, C123, C161",Sincronização e Orquestração,"Alto Dados (Expansão de Cobertura), Dados Específicos, Perspectiva Temporal","HealthScore, EvolutionRound, CLAWSState",".to_dict(), .summary(), .compute_health()"
C111,Evolução e Feedback: EvolutionCycle,26,evolution_cycle.py,-,-,"R4, R5","C123, C277",Evolução e Feedback,"Alto Dados (Expansão de Cobertura), Dados Específicos, Tipos de Dados e Evidências",EvolutionCycle,".__init__(), .collect_metrics(), ._get_bridge_health()"
C112,Integração Nexus: Document,26,collections.py,-,-,-,"C94, C99, C132, C201, C208",Integração Nexus,-,"Document, CollectionManager",".__init__(), ._init_schema(), ._fts_table()"
C113,Sincronização e Orquestração: Executa validação completa,26,validation_suite.py,-,-,"R54, R56",C123,Sincronização e Orquestração,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Preenchimento de Ausências (R37) — Complemento para 80%+","Executa validação completa, ValidationResult, TMAValidationSuite",".__init__(), .run_full_validation(), ._validate_structure()"
C114,Testes e Validação: TestDashboardServer,26,test_dashboard.py,-,-,-,"C171, C275",Testes e Validação,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Dados Específicos","TestDashboardServer, Inicializa o servidor do dashboard em uma thread paralela na porta 8091 para tes, CT-061-004: Validar o esquema de dados JSON de retorno da API (scanners e active",".test_ct_061_001_home_route(), .test_ct_061_002_index_route(), .test_ct_061_003_api_dados_route()"
C115,Teoria dos Jogos: TestGameTheoryModels,26,test_game_theory.py,-,-,"R48, R49, R50",C92,Teoria dos Jogos,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","TestGameTheoryModels, CT-060-003: Validar equilíbrios dominante por payoff e por risco da Caça ao Cerv, CT-060-004: Validar equilíbrios de anti-coordenação do Jogo do Frango (Hawk-Dove",".test_ct_060_001_prisoners_dilemma(), .test_ct_060_002_battle_of_sexes(), .test_ct_060_003_stag_hunt()"
C116,Testes e Validação: TestFenomenologico,26,test_r31_metodos.py,-,-,-,-,Testes e Validação,"Alto Raciocínio (Especificidades), Dados Específicos, Metodologia Específica (keyword_map compatibility)","TestFenomenologico, TestGroundedTheory, TestEstudoCaso",".test_ct01_spec_exists(), .test_ct02_keywords(), .test_ct03_skill_exists()"
C117,Testes e Validação: Testes R35 — Capability Registration Framework (SPEC-080) ======================,26,test_r35_capability_registration.py,-,-,R35,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)",Testes R35 — Capability Registration Framework (SPEC-080) ======================,-
C118,Pipeline Acadêmico: TestFaseD_Academic,26,test_r45d_academic_pipeline.py,-,-,"R35, R37, R39, R45, R60",-,Pipeline Acadêmico,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, População e Contexto",TestFaseD_Academic,".test_D01_pipeline_imports(), .test_D02_seeker_trigger(), .test_D03_maswos_orchestration()"
C119,"Testes e Validação: EBM 1D com difusao usando Crank-Nicolson (implicito, incondicionalmente estavel)",26,test_superacao_limitacoes.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), População Específica, População e Contexto","EBM 1D com difusao usando Crank-Nicolson (implicito, incondicionalmente estavel)",-
C120,Integração Nexus: Cognitive Diversity Injector,25,test_cognitive_diversity_injector.py,-,-,-,-,Integração Nexus,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Métodos de Investigação",-,-
C121,Testes e Validação: TestMockStateManager,25,test_mock_services.py,-,-,-,-,Testes e Validação,-,"TestMockStateManager, TestMockEventBus",".ms(), .test_set_and_get(), .test_get_with_default()"
C122,Testes e Validação: R42 Cicd Pipeline,25,test_r42_cicd_pipeline.py,-,-,"R39, R41, R42",-,Testes e Validação,-,-,-
C123,Testes e Validação: Cores,24,"test_anticircularidade.py, meta_orchestrator.py",-,-,-,"C0, C1, C2, C3, C4",Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","Cores, Document, Pattern","._create_corpus(), ._temporal_split(), .test_cutoff_preserves_order()"
C124,Testes e Validação: CTResult,24,test_capability_integration.py,-,-,-,-,Testes e Validação,"Perspectiva Temporal, Temporalidade Específica","CTResult, Any, MockAuditTrail",.__init__()
C125,Testes e Validação: TestOpenCodeErrorBase,24,test_errors.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, Temporalidade Específica","TestOpenCodeErrorBase, TestExceptionHierarchy, TestStrRepresentation",".test_default_attributes(), .test_with_message(), .test_with_original_exception()"
C126,Testes e Validação: Evolucao M4,24,test_evolucao_m4.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, População e Contexto",-,-
C127,Ecossistema e Scanners: CTResult,23,test_evolutionary_scanner.py,-,-,"R60, R61, R62",-,Ecossistema e Scanners,Teorias Específicas (keyword_map compatibility),CTResult,.__init__()
C128,Testes e Validação: D11-N2-01: Modelo de Segregação Espacial de Schelling eleva a homogeneidade loca,23,test_d11_sociologia.py,-,-,-,-,Testes e Validação,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Métodos de Investigação",D11-N2-01: Modelo de Segregação Espacial de Schelling eleva a homogeneidade loca,-
C129,Testes e Validação: TestMRU,23,test_d2_fisica.py,-,-,-,-,Testes e Validação,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Níveis de Análise","TestMRU, TestQuedaLivre, TestConservacaoEnergia",".test_mru_formula(), .test_queda_livre(), .test_pendulo_conservacao()"
C130,Integração Nexus: R43 Active Mcp Discovery,23,test_r43_active_mcp_discovery.py,-,-,R43,"C148, C160, C226, C250",Integração Nexus,"Dados Específicos, Metodologia Específica (keyword_map compatibility)",-,-
C131,Sincronização e Orquestração: DynamicScore,22,nexus_sync_orchestrator.py,-,-,"R54, R56","C4, C8, C25, C27, C46",Sincronização e Orquestração,Níveis Análise Específicos,"DynamicScore, SyncState, DynamicScoringEngine",".compute(), .__init__(), ._load()"
C132,Integração Nexus: Collection,22,"router.py, collections.py",-,-,-,"C94, C112, C201, C208",Integração Nexus,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+","Collection, RouteDecision, QueryResult",".get_collection(), .__init__(), .route()"
C133,Ecossistema e Scanners: CTResult,22,test_scanner_refinement.py,-,-,"R60, R61, R62",-,Ecossistema e Scanners,"Perspectiva Temporal, Temporalidade Específica",CTResult,.__init__()
C134,Trust e Witness Pattern: ContextEntry,21,context_offload.py,-,-,"R31, R32","C2, C5, C8, C19, C27",Trust e Witness Pattern,-,"ContextEntry, SessionState, ContextOffloadManager",".__init__(), .create_session(), .add_entry()"
C135,MCP e Adaptadores: ComponentHealth,21,ecosystem_bridge.py,-,-,"R54, R55",C123,MCP e Adaptadores,-,"ComponentHealth, BridgeState",.detail()
C136,Trust e Witness Pattern: CTResult,21,test_behavioral_autonomy.py,-,-,"R31, R32",-,Trust e Witness Pattern,"Dados Específicos, População Específica",CTResult,.__init__()
C137,Metacognição e Self-Model: CTResult,21,test_metacognitive_pipeline.py,-,-,"R31, R32, R33, R34",C162,Metacognição e Self-Model,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação",CTResult,.__init__()
C138,Testes e Validação: CTResult,21,test_n2_n3_upgrades.py,-,-,-,C162,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)",CTResult,.__init__()
C139,Testes e Validação: TestSROIAnalyzer,21,test_social_impact_scanner.py,-,-,-,C181,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Níveis Análise Específicos","TestSROIAnalyzer, CT-4401: Garante que o cálculo do SROI ratio é correto e robusto, Cálculo básico de SROI com valores simples",".setup_method(), .test_ct4401_basic_sroi_calculation(), .test_ct4401_sroi_with_deadweight()"
C140,Ecossistema e Scanners: CTResult,21,test_structural_noise_scanner.py,-,-,"R60, R61, R62",-,Ecossistema e Scanners,Temporalidade Específica,CTResult,.__init__()
C141,Testes e Validação: TestTaskQueueLifecycle,21,test_task_queue.py,-,-,-,"C149, C246",Testes e Validação,"Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos, População e Contexto","TestTaskQueueLifecycle, TestTaskQueueExecution, TestTaskQueuePriorities",".test_start_and_stop(), .test_double_start(), .test_context_manager()"
C142,Raciocínio e Lógica: PeirceType,20,arche_rlt.py,-,-,"R1, R2, R3, R4, R5","C0, C92",Raciocínio e Lógica,-,"PeirceType, RLTNode, ARCLERLT",".validate_node(), .build_tree(), ._traverse()"
C143,ASDE — Descoberta Científica: OntologyGraph,20,asde_engine.py,-,-,"R35, R36, R37, R38, R39","C9, C10, C14, C28, C54",ASDE — Descoberta Científica,Metodologia Específica (keyword_map compatibility),"OntologyGraph, IdeaGenerator, Inicializa grafo com 30+ conceitos cientificos",".__init__(), ._init_expanded_graph(), .add_node()"
C144,Testes e Validação: Fechamento P12 P15,20,test_fechamento_p12_p15.py,-,-,-,C123,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Perspectiva Temporal",-,-
C145,Integração Nexus: TestConstrutivista,20,test_r32_paradigmas.py,-,-,-,-,Integração Nexus,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Paradigmas Epistemológicos","TestConstrutivista, TestPosEstruturalista",".test_ct01_spec_exists(), .test_ct02_keywords(), .test_ct05_skill_exists()"
C146,Integração Nexus: TestFenomenologicoParadigma,20,test_r33_paradigma_fenomenologico.py,-,-,-,-,Integração Nexus,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Dados Específicos",TestFenomenologicoParadigma,".test_ct01_spec_exists(), .test_ct02_keywords(), .test_ct03_enables_metodo()"
C147,Testes e Validação: Validacao Rigorosa,20,test_validacao_rigorosa.py,-,-,-,C267,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)",-,-
C148,MCP e Adaptadores: UseCase,19,mcp_use_case_registry.py,-,-,"R54, R55",C130,MCP e Adaptadores,Dados Específicos,"UseCase, UseCaseRegistry",".__init__(), ._build_defaults(), .list_use_cases()"
C149,Integração Nexus: TaskStatus,19,"aop_service_discovery.py, test_task_queue.py",-,-,-,"C0, C141, C154, C185, C227",Integração Nexus,-,"TaskStatus, QueuedTask, AgentRegistration",".__init__(), .enqueue(), .dequeue()"
C150,Docling e PDF: PDFKnowledgeExtractor,19,pdf_ecosystem_integration.py,-,-,-,"C8, C93, C228, C277",Docling e PDF,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação",PDFKnowledgeExtractor,".__init__(), .extract_knowledge(), ._extract_metadata()"
C151,Integração Nexus: TopologyIntegrator,19,topology_integrator.py,-,-,-,-,Integração Nexus,-,TopologyIntegrator,".__init__(), .scan(), .get_rpi()"
C152,Testes e Validação: CTResult,19,test_minimum_capability_solver.py,-,-,-,-,Testes e Validação,-,CTResult,.__init__()
C153,Testes e Validação: TestContainerSingleton,19,test_container.py,-,-,-,"C68, C69",Testes e Validação,"Níveis Análise Específicos, População Específica","TestContainerSingleton, TestFactory, TestErrors",".test_instance_returns_same_object(), .test_different_containers_are_different(), .test_factory_is_lazy()"
C154,Testes e Validação: AgentSpec,18,"auto_swarm_builder.py, test_auto_swarm_aop.py",-,-,-,"C149, C214, C227",Testes e Validação,Metodologia Específica (keyword_map compatibility),"AgentSpec, SwarmRouterConfig, AutoSwarmBuilder",".__init__(), .run(), .batch_run()"
C155,Metacognição e Self-Model: TestMetacognitiveSearch,18,"test_metacognitive_search.py, metacognitive_search.py",-,-,"R31, R32, R33, R34","C162, C194, C205",Metacognição e Self-Model,"Alto Raciocínio (Especificidades), Dados Específicos, Metodologia Específica (keyword_map compatibility)","TestMetacognitiveSearch, CT-062-002: Validar que passos de raciocínio muito curtos/superficiais são penal, CT-062-004: Validar penalização por falta de relevância dos termos com a pergunt",".evaluate_step(), .test_ct_062_001_node_creation(), .test_ct_062_002_verifier_short_step()"
C156,Agentes e Skills: Migrate All Skills,18,migrate_all_skills.py,-,-,"R56, R57",C123,Agentes e Skills,-,-,-
C157,Testes e Validação: TestChatOllama,18,test_chat_ollama.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Dados Específicos","TestChatOllama, Verifica se carregar_acumulado() inicializa corretamente se o arquivo não existi, Verifica se obter_modelos_locais() analisa corretamente a resposta da API do Oll",".setup_method(), .teardown_method(), .test_vocalizer_cmd_creation()"
C158,Testes e Validação: TestEcosystemHealth,18,test_ecosystem_health.py,-,-,-,"C235, C335, C336, C337, C338",Testes e Validação,Métodos de Investigação,TestEcosystemHealth,".setUpClass(), .test_skills_registry_count(), .test_skills_valid_scores()"
C159,Testes e Validação: Validacao Externa,18,test_validacao_externa.py,-,-,-,"C267, C367, C368, C369, C370",Testes e Validação,"Metodologia Específica (keyword_map compatibility), Temporalidade Específica",-,-
C160,MCP e Adaptadores: DiscoveryResult,17,"mcp_active_discovery.py, test_r43_active_mcp_discovery.py",-,-,"R54, R55","C130, C184, C206, C226, C250",MCP e Adaptadores,População e Contexto,"DiscoveryResult, CapabilityGapDetector, SemanticRouter",".detect_gaps(), .rank_servers_for_task()"
C161,Sincronização e Orquestração: ComponentHealth,17,claws_orchestrator.py,-,-,"R54, R56","C68, C110",Sincronização e Orquestração,Métodos de Investigação,"ComponentHealth, ComponentScanner, Path",".__init__(), .to_dict(), .scan_all()"
C162,Metacognição e Self-Model: ReasoningNode,17,"metacognitive_search.py, test_metacognitive_search.py",-,-,"R31, R32, R33, R34","C137, C138, C155, C194, C205",Metacognição e Self-Model,"Alto Raciocínio (Especificidades), Dados Específicos, Domínios de Conhecimento Cruzados","ReasoningNode, ProcessVerifier, MetacognitiveMonitor",".__init__(), .should_backtrack(), .test_ct_062_007_monitor_no_backtrack()"
C163,MCP e Adaptadores: DecisionNode MCP Server — Gerencia ADRs (Architecture Decision Records),17,decide_mcp_server.py,-,-,"R54, R55",C123,MCP e Adaptadores,-,DecisionNode MCP Server — Gerencia ADRs (Architecture Decision Records),-
C164,Metacognição e Self-Model: Metacognitive Learner,17,test_metacognitive_learner.py,-,-,"R31, R32, R33, R34",-,Metacognição e Self-Model,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação",-,-
C165,Testes e Validação: TestBImpactAssessment,17,test_social_impact_scanner.py,-,-,-,C181,Testes e Validação,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), População e Contexto","TestBImpactAssessment, CT-4403: Garante o cálculo correto do B Impact Assessment, Score básico com todas as dimensões em 50",".setup_method(), .test_ct4403_basic_scoring(), .test_ct4403_high_impact()"
C166,Ecossistema e Scanners: TestSocialImpactScanner,17,test_social_impact_scanner.py,-,-,"R60, R61, R62",C181,Ecossistema e Scanners,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","TestSocialImpactScanner, CT-4406: Garante a integridade do relatório consolidado, Análise completa deve gerar relatório com todas as seções",".setup_method(), .test_ct4406_full_analysis_generates_report(), .test_ct4406_report_has_all_components()"
C167,Testes e Validação: CTResult,17,test_structural_compression_engine.py,-,-,-,-,Testes e Validação,Metodologia Específica (keyword_map compatibility),CTResult,.__init__()
C168,Testes e Validação: StreamMessage,17,"test_spec020_data_streaming.py, conftest.py",-,-,-,"C15, C47, C169, C183, C220",Testes e Validação,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, Preenchimento de Ausências (R37) — Complemento para 80%+","StreamMessage, SchemaValidationError, TestSchemaRegistry",-
C169,Testes e Validação: DataStream,17,test_spec020_data_streaming.py,-,-,-,"C168, C183, C270",Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Tipos de Dados e Evidências",DataStream,".__init__(), ._get_partition(), .produce()"
C170,Testes e Validação: TestInitializeCore,17,test_integration_core.py,-,-,-,"C27, C69",Testes e Validação,Metodologia Específica (keyword_map compatibility),"TestInitializeCore, TestResetForTesting, TestAll",".test_initialize_registers_services(), .test_initialize_with_custom_db_path(), .test_double_init_skips()"
C171,ASDE — Descoberta Científica: DashboardHandler,16,"dashboard_server.py, test_asde_experiment.py",-,-,"R35, R36, R37, R38, R39","C105, C114, C123, C275",ASDE — Descoberta Científica,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","DashboardHandler, BaseHTTPRequestHandler, CT-063-011: Validar que a geração estática do dashboard compila após o experimen",".do_GET(), .test_ct_063_011_dashboard_integration()"
C172,Agentes e Skills: Refactor Oversize Skills V2,16,refactor_oversize_skills_v2.py,-,-,"R56, R57",-,Agentes e Skills,"Alto Dados (Expansão de Cobertura), Dados Específicos, Tipos de Dados e Evidências",-,-
C173,Raciocínio e Lógica: Arche Rlt,16,test_arche_rlt.py,-,-,"R1, R2, R3, R4, R5",-,Raciocínio e Lógica,-,-,-
C174,Testes e Validação: Evolucao Pilar,16,test_evolucao_pilar.py,-,-,-,-,Testes e Validação,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Métodos de Investigação",-,-
C175,Testes e Validação: Design experimental para comparacao justa:     Condicao A: DeepSeek-V3 bare (sem,16,test_melhorias_defesa.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Raciocínio Formal (keyword_map compatibility), Referenciais Teóricos",Design experimental para comparacao justa:     Condicao A: DeepSeek-V3 bare (sem,-
C176,Testes e Validação: Revisao Critica Final,16,test_revisao_critica_final.py,-,-,-,C267,Testes e Validação,"Metodologia Específica (keyword_map compatibility), População e Contexto, Tipos de Raciocínio",-,-
C177,MCP e Adaptadores: Any,15,ollama_web_search_mcp.py,-,-,"R54, R55",-,MCP e Adaptadores,-,Any,-
C178,Evolução e Feedback: PerformanceMetric,15,phd_learning_cores.py,-,-,"R4, R5","C108, C209, C242",Evolução e Feedback,"Alto Raciocínio (Especificidades), Dados Específicos, Metodologia Específica (keyword_map compatibility)","PerformanceMetric, SelfImprovementCore, Métrica de desempenho do agente",".__init__(), .monitor_performance(), .identify_bottlenecks()"
C179,Agentes e Skills: SkillEntry,15,skills_registry.py,-,-,"R56, R57","C27, C68, C69, C123",Agentes e Skills,-,SkillEntry,-
C180,Testes e Validação: Path,15,test_frontmatter_validator.py,-,-,-,-,Testes e Validação,Perspectiva Temporal,Path,-
C181,Ecossistema e Scanners: TestTheoryOfChange,15,test_social_impact_scanner.py,-,-,"R60, R61, R62","C139, C165, C166, C182, C199",Ecossistema e Scanners,"Metodologia Específica (keyword_map compatibility), População e Contexto, Preenchimento de Ausências (R37) — Complemento para 80%+","TestTheoryOfChange, SPEC-044: Testes TDD do Social Impact Scanner ==================================, CT-4402: Garante a integridade da cadeia lógica ToC",".setup_method(), .test_ct4402_basic_toc_creation(), .test_ct4402_validate_complete_chain()"
C182,Testes e Validação: TestSDGTracker,15,test_social_impact_scanner.py,-,-,-,C181,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+","TestSDGTracker, CT-4405: Garante o correto mapeamento de ODS, Rastreamento básico de ODS",".setup_method(), .test_ct4405_basic_tracking(), .test_ct4405_top_three()"
C183,Testes e Validação: StreamProducer,15,test_spec020_data_streaming.py,-,-,-,"C168, C169",Testes e Validação,-,"StreamProducer, StreamConsumer, TestAtLeastOnce",".__init__(), .deliver(), .send()"
C184,MCP e Adaptadores: MCPServer,14,mcp_active_discovery.py,-,-,"R54, R55","C160, C206",MCP e Adaptadores,Metodologia Específica (keyword_map compatibility),"MCPServer, MCPInventory, Path",".__init__(), ._load(), .get_by_status()"
C185,Integração Nexus: AgentSpec,14,"auto_swarm_builder.py, nexus_integration.py",-,-,-,"C91, C149, C227",Integração Nexus,Metodologia Específica (keyword_map compatibility),"AgentSpec, SwarmRouterConfig, AutoSwarmBuilder",".__init__(), .run(), .batch_run()"
C186,Evolução e Feedback: UncertaintyEstimate,14,phd_learning_cores.py,-,-,"R4, R5","C108, C209, C242",Evolução e Feedback,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Níveis Análise Específicos","UncertaintyEstimate, UncertaintyQuantificationCore, Estimativa de incerteza com intervalo de confiança",".to_dict(), .__init__(), .bayesian_inference()"
C187,Testes e Validação: MockAgent,14,test_agent_manager.py,-,-,-,"C221, C245, C251, C252, C271",Testes e Validação,-,"MockAgent, TestAgentTypeRegistration",".__init__(), .initialize(), .execute()"
C188,Testes e Validação: TestContextOffload,14,test_context_offload.py,-,-,-,C134,Testes e Validação,-,TestContextOffload,".test_create_session(), .test_add_entry(), .test_add_without_session()"
C189,Testes e Validação: TestAdversarialPerturbation,14,test_anticircularidade.py,-,-,-,C123,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, População e Contexto","TestAdversarialPerturbation, Corpus onde a ordem dos paragrafos importa, T1: embaralhar paragrafos","._create_structured_corpus(), ._extract_pattern(), ._shuffle_paragraphs()"
C190,Testes e Validação: Calibracao V6 V7,14,test_calibracao_v6_v7.py,-,-,-,-,Testes e Validação,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), População e Contexto",-,-
